word, absfrequency, relfrequency
got,609,1.10
said,465,0.84
see,465,0.84
well,399,0.72
would,396,0.72
come,379,0.69
one,370,0.67
d,361,0.65
jim,356,0.65
didn,354,0.64
get,334,0.61
says:,313,0.57
says,302,0.55
ain,300,0.54
could,297,0.54
time,296,0.54
warn,293,0.53
went,291,0.53
ll,290,0.53
right,275,0.50
go,270,0.49
good,267,0.48
old,260,0.47
like,255,0.46
around,254,0.46
way,250,0.45
de,249,0.45
know,236,0.43
en,232,0.42
tom,230,0.42
along,229,0.42
done,221,0.40
couldn,217,0.39
back,213,0.39
ever,210,0.38
man,210,0.38
little,199,0.36
never,189,0.34
wouldn,185,0.34
two,182,0.33
tell,177,0.32
away,175,0.32
say,175,0.32
going,173,0.31
made,171,0.31
make,170,0.31
take,170,0.31
nothing,168,0.30
took,168,0.30
long,161,0.29
pretty,158,0.29
us,157,0.28
king,153,0.28
nigger,153,0.28
let,150,0.27
set,149,0.27
want,148,0.27
duke,143,0.26
told,143,0.26
give,140,0.25
put,135,0.24
think,135,0.24
river,132,0.24
thing,131,0.24
till,131,0.24
kind,130,0.24
m,127,0.23
people,126,0.23
look,124,0.22
night,123,0.22
ve,121,0.22
n,120,0.22
reckon,118,0.21
every,113,0.20
head,111,0.20
place,110,0.20
work,110,0.20
things,108,0.20
enough,105,0.19
raft,102,0.18
day,101,0.18
re,100,0.18
much,99,0.18
soon,99,0.18
three,98,0.18
town,98,0.18
another,97,0.18
first,96,0.17
_,94,0.17
knowed,93,0.17
last,93,0.17
wanted,93,0.17
always,92,0.17
big,92,0.17
hear,92,0.17
better,91,0.16
everybody,89,0.16
project,88,0.16
run,88,0.16
looked,87,0.16
next,87,0.16
anything,86,0.16
dat,86,0.16
keep,86,0.16
minute,86,0.16
something,85,0.15
money,83,0.15
gone,79,0.14
yes,79,0.14
dey,78,0.14
hadn,78,0.14
heard,78,0.14
house,77,0.14
mile,77,0.14
trouble,77,0.14
o,76,0.14
found,75,0.14
laid,74,0.13
miss,74,0.13
reckoned,74,0.13
hain,73,0.13
it;,73,0.13
must,72,0.13
nobody,72,0.13
side,72,0.13
anybody,71,0.13
begun,71,0.13
mind,71,0.13
still,71,0.13
hands,70,0.13
mighty,70,0.13
door,69,0.13
dead,68,0.12
men,68,0.12
oh,68,0.12
half,67,0.12
comes,66,0.12
dark,66,0.12
talk,66,0.12
won,66,0.12
hand,65,0.12
maybe,65,0.12
thought,65,0.12
use,64,0.12
water,64,0.12
em,63,0.11
everything,63,0.11
woods,63,0.11
canoe,61,0.11
bed,60,0.11
find,60,0.11
home,60,0.11
huck,60,0.11
might,60,0.11
pap,60,0.11
left,59,0.11
mary,59,0.11
body,58,0.11
dollars,58,0.11
lot,58,0.11
behind,57,0.10
gutenberg-tm,57,0.10
lay,55,0.10
started,55,0.10
young,55,0.10
aunt,54,0.10
fetch,53,0.10
foot,53,0.10
help,53,0.10
yet,52,0.09
judged,51,0.09
looking,51,0.09
without,51,0.09
full,50,0.09
light,50,0.09
new,50,0.09
poor,50,0.09
somebody,50,0.09
struck,50,0.09
easy,49,0.09
many,49,0.09
saying,49,0.09
coming,48,0.09
git,48,0.09
seen,48,0.09
show,48,0.09
whole,48,0.09
boy,47,0.09
er,47,0.09
jane,47,0.09
kept,47,0.09
mean,47,0.09
rest,47,0.09
widow,47,0.09
bout,46,0.08
1,45,0.08
morning,45,0.08
niggers,45,0.08
room,45,0.08
sally,45,0.08
sawyer,45,0.08
uncle,45,0.08
chapter,44,0.08
days,44,0.08
glad,44,0.08
name,44,0.08
towards,44,0.08
used,44,0.08
feel,43,0.08
getting,43,0.08
piece,43,0.08
eyes,42,0.08
four,42,0.08
free,42,0.08
white,42,0.08
world,42,0.08
island,41,0.07
ready,41,0.07
sometimes,41,0.07
turn,41,0.07
anyway,40,0.07
ben,40,0.07
buck,40,0.07
gwyne,40,0.07
stood,40,0.07
ten,40,0.07
bad,39,0.07
bank,39,0.07
course,39,0.07
fool,39,0.07
middle,39,0.07
stand,39,0.07
start,39,0.07
stay,39,0.07
t_,39,0.07
times,39,0.07
try,39,0.07
turned,39,0.07
best,38,0.07
couple,38,0.07
hid,38,0.07
sight,38,0.07
amongst,37,0.07
considerable,37,0.07
country,37,0.07
fetched,37,0.07
open,37,0.07
read,37,0.07
seem,37,0.07
six,37,0.07
blame,36,0.07
hundred,36,0.07
sound,36,0.07
stopped,36,0.07
works,36,0.07
year,36,0.07
_you_,35,0.06
end,35,0.06
gutenberg,35,0.06
may,35,0.06
me;,35,0.06
tried,35,0.06
wait,35,0.06
across,34,0.06
awful,34,0.06
chance,34,0.06
doan,34,0.06
doctor,34,0.06
face,34,0.06
hour,34,0.06
killed,34,0.06
trying,34,0.06
called,33,0.06
