word, absfrequency, relfrequency
the,476,4.75
and,354,3.53
of,272,2.71
a,248,2.47
to,228,2.27
you,176,1.76
he,159,1.59
in,150,1.50
it,121,1.21
his,115,1.15
with,111,1.11
or,97,0.97
that,94,0.94
was,94,0.94
i,91,0.91
project,87,0.87
tom,86,0.86
she,84,0.84
for,79,0.79
t,77,0.77
s,69,0.69
this,69,0.69
work,61,0.61
gutenberg-tm,57,0.57
but,55,0.55
him,52,0.52
1,51,0.51
is,49,0.49
had,48,0.48
not,48,0.48
on,47,0.47
at,46,0.46
if,46,0.46
her,45,0.45
any,44,0.44
by,44,0.44
as,42,0.42
do,41,0.41
all,40,0.40
gutenberg,35,0.35
can,34,0.34
be,33,0.33
boy,33,0.33
up,33,0.33
an,32,0.32
out,32,0.32
works,32,0.32
would,32,0.32
so,31,0.31
from,30,0.30
no,30,0.30
electronic,27,0.27
e,25,0.25
foundation,25,0.25
then,25,0.25
were,25,0.25
are,24,0.24
other,24,0.24
ll,23,0.23
said:,23,0.23
there,23,0.23
aunt,22,0.22
don,22,0.22
terms,22,0.22
well,22,0.22
your,22,0.22
now,21,0.21
over,21,0.21
what,21,0.21
full,20,0.20
about,19,0.19
like,19,0.19
new,19,0.19
only,19,0.19
upon,19,0.19
when,19,0.19
agreement,18,0.18
got,18,0.18
me,18,0.18
into,17,0.17
my,17,0.17
time,17,0.17
will,17,0.17
back,16,0.16
d,16,0.16
license,16,0.16
they,16,0.16
been,15,0.15
donations,15,0.15
fence,15,0.15
himself,15,0.15
make,15,0.15
may,15,0.15
one,15,0.15
sid,15,0.15
which,15,0.15
copyright,14,0.14
did,14,0.14
down,14,0.14
see,14,0.14
states,14,0.14
through,14,0.14
without,14,0.14
archive,13,0.13
how,13,0.13
jim,13,0.13
literary,13,0.13
part,13,0.13
re,13,0.13
boys,12,0.12
copy,12,0.12
have,12,0.12
little,12,0.12
more,12,0.12
never,12,0.12
old,12,0.12
such,12,0.12
under,12,0.12
use,12,0.12
ain,11,0.11
away,11,0.11
before,11,0.11
ben,11,0.11
f,11,0.11
heart,11,0.11
know,11,0.11
let,11,0.11
long,11,0.11
paragraph,11,0.11
said,11,0.11
some,11,0.11
them,11,0.11
trademark,11,0.11
two,11,0.11
went,11,0.11
3,10,0.10
access,10,0.10
came,10,0.10
could,10,0.10
ebook,10,0.10
give,10,0.10
go,10,0.10
head,10,0.10
just,10,0.10
must,10,0.10
oh,10,0.10
polly,10,0.10
public,10,0.10
refund,10,0.10
set,10,0.10
united,10,0.10
while,10,0.10
white,10,0.10
who,10,0.10
agree,9,0.09
even,9,0.09
every,9,0.09
face,9,0.09
including,9,0.09
mind,9,0.09
much,9,0.09
off,9,0.09
very,9,0.09
we,9,0.09
where,9,0.09
why,9,0.09
after,8,0.08
associated,8,0.08
domain,8,0.08
fee,8,0.08
forth,8,0.08
get,8,0.08
hand,8,0.08
http:,8,0.08
its,8,0.08
laws,8,0.08
look,8,0.08
looked,8,0.08
m,8,0.08
next,8,0.08
poor,8,0.08
presently,8,0.08
sawyer,8,0.08
say,8,0.08
state,8,0.08
took,8,0.08
way,8,0.08
whitewash,8,0.08
-,7,0.07
again,7,0.07
brush,7,0.07
come,7,0.07
copies,7,0.07
days,7,0.07
distributing,7,0.07
done,7,0.07
