word, absfrequency, relfrequency
project,87,1.67
tom,86,1.65
work,61,1.17
gutenberg-tm,57,1.09
1,51,0.98
gutenberg,35,0.67
boy,33,0.63
works,32,0.61
would,32,0.61
electronic,27,0.52
e,25,0.48
foundation,25,0.48
ll,23,0.44
said:,23,0.44
aunt,22,0.42
terms,22,0.42
well,22,0.42
full,20,0.38
like,19,0.36
new,19,0.36
upon,19,0.36
agreement,18,0.35
got,18,0.35
time,17,0.33
back,16,0.31
d,16,0.31
license,16,0.31
donations,15,0.29
fence,15,0.29
make,15,0.29
may,15,0.29
one,15,0.29
sid,15,0.29
copyright,14,0.27
see,14,0.27
states,14,0.27
without,14,0.27
archive,13,0.25
jim,13,0.25
literary,13,0.25
part,13,0.25
re,13,0.25
boys,12,0.23
copy,12,0.23
little,12,0.23
never,12,0.23
old,12,0.23
use,12,0.23
ain,11,0.21
away,11,0.21
ben,11,0.21
f,11,0.21
heart,11,0.21
know,11,0.21
let,11,0.21
long,11,0.21
paragraph,11,0.21
said,11,0.21
trademark,11,0.21
two,11,0.21
went,11,0.21
3,10,0.19
access,10,0.19
came,10,0.19
could,10,0.19
ebook,10,0.19
give,10,0.19
go,10,0.19
head,10,0.19
must,10,0.19
oh,10,0.19
polly,10,0.19
public,10,0.19
refund,10,0.19
set,10,0.19
united,10,0.19
white,10,0.19
agree,9,0.17
even,9,0.17
every,9,0.17
face,9,0.17
including,9,0.17
mind,9,0.17
much,9,0.17
associated,8,0.15
domain,8,0.15
fee,8,0.15
forth,8,0.15
get,8,0.15
hand,8,0.15
http:,8,0.15
laws,8,0.15
look,8,0.15
looked,8,0.15
m,8,0.15
next,8,0.15
poor,8,0.15
presently,8,0.15
sawyer,8,0.15
say,8,0.15
state,8,0.15
took,8,0.15
way,8,0.15
whitewash,8,0.15
-,7,0.13
brush,7,0.13
come,7,0.13
copies,7,0.13
days,7,0.13
distributing,7,0.13
done,7,0.13
ebooks,7,0.13
enough,7,0.13
eye,7,0.13
form,7,0.13
free,7,0.13
great,7,0.13
information,7,0.13
moment,7,0.13
org,7,0.13
permission,7,0.13
provide,7,0.13
right,7,0.13
section,7,0.13
small,7,0.13
take,7,0.13
thing,7,0.13
thought,7,0.13
till,7,0.13
turn,7,0.13
water,7,0.13
window,7,0.13
world,7,0.13
***,6,0.12
adventures,6,0.12
anything,6,0.12
apple,6,0.12
began,6,0.12
c,6,0.12
charge,6,0.12
comply,6,0.12
discovered,6,0.12
distribute,6,0.12
distribution,6,0.12
general,6,0.12
good,6,0.12
home,6,0.12
knew,6,0.12
lick,6,0.12
net,6,0.12
nothing,6,0.12
outside,6,0.12
paid,6,0.12
pglaf,6,0.12
posted,6,0.12
put,6,0.12
saw,6,0.12
street,6,0.12
tax,6,0.12
ting-a-ling-ling,6,0.12
toward,6,0.12
turned,6,0.12
volunteers,6,0.12
web,6,0.12
within,6,0.12
wouldn,6,0.12
www,6,0.12
4,5,0.10
air,5,0.10
along,5,0.10
anyone,5,0.10
around,5,0.10
big,5,0.10
compliance,5,0.10
course,5,0.10
didn,5,0.10
far,5,0.10
found,5,0.10
help,5,0.10
high,5,0.10
keep,5,0.10
last,5,0.10
learn,5,0.10
limited,5,0.10
maybe,5,0.10
medium,5,0.10
nose,5,0.10
owner,5,0.10
person,5,0.10
received,5,0.10
reckon,5,0.10
replacement,5,0.10
round,5,0.10
stood,5,0.10
stop,5,0.10
summer,5,0.10
think,5,0.10
village,5,0.10
won,5,0.10
7,4,0.08
8,4,0.08
9,4,0.08
additional,4,0.08
alley,4,0.08
almost,4,0.08
always,4,0.08
another,4,0.08
answer,4,0.08
anybody,4,0.08
behind,4,0.08
better,4,0.08
bit,4,0.08
black,4,0.08
body,4,0.08
book,4,0.08
bound,4,0.08
brother,4,0.08
cannot,4,0.08
child,4,0.08
clemens,4,0.08
collection,4,0.08
contact,4,0.08
copying,4,0.08
creating,4,0.08
damages,4,0.08
dare,4,0.08
dead,4,0.08
displaying,4,0.08
donate,4,0.08
door,4,0.08
editions,4,0.08
efforts,4,0.08
either,4,0.08
end,4,0.08
fees,4,0.08
fell,4,0.08
flower,4,0.08
foot,4,0.08
format,4,0.08
freely,4,0.08
gave,4,0.08
gone,4,0.08
